ID,Curhatan Pengguna,Respons/Saran,Emosi Curhatan
1,Hari ini saya merasa sangat stres dengan pekerjaan.,Tetap semangat! Anda pasti bisa mengatasinya.,Stres
2,Saya merasa sangat cemas dengan ujian besok.,"Jangan khawatir, persiapannya pasti sudah cukup bagus.",Cemas
3,Sedih sekali melihat berita yang menyedihkan tadi.,"Semangat, berita buruk tidak selamanya ada.",Sedih
4,Saya merasa tidak bersemangat hari ini.,Bangkitlah! Setiap hari adalah kesempatan baru.,Lesu
5,Saya merasa kesepian belakangan ini.,Jangan ragu untuk mencari teman atau aktivitas baru.,Kesepian
6,"Aku kesal sekali, aku sudah melakukan banyak hal tapi sia sia",Maaf. bersabar mungkin membuatmu merasa lebih baik,Marah
7,Aku sangat marah dengan dia ,Tarik napas dalam-dalam,Marah
8,ini membosankan,Kalau bosan bisa rencanakan liburan impian,Bosan
9,Aku mulai bosan,Bosan ya? Pernah lihat landak mandi?,Bosan
10,itu membuatku bosan,Bosan ya? Pernah lihat landak mandi?,Bosan
11,Saya punya pekerjaan yang harus dilakukan,Saya mengerti. Saya akan berada di sini jika Anda membutuhkan saya.,Fact 1
12,Saya kelebihan beban,Saya mengerti. Saya akan berada di sini jika Anda membutuhkan saya.,Fact 1
13,Ada yang harus saya lakukan,Saya mengerti. Saya akan berada di sini jika Anda membutuhkan saya.,Fact 1
14,Saya insomnia,Mungkin beberapa musik akan membantu. Cobalah mendengarkan sesuatu yang menenangkan,Fact 2
15,Saya tidak bisa tidur,Mungkin beberapa musik akan membantu. Cobalah mendengarkan sesuatu yang menenangkan,Fact 2
16,Saya sulit tidur,Mungkin beberapa musik akan membantu. Cobalah mendengarkan sesuatu yang menenangkan,Fact 2
17,Saya sangat bersemangat,Itu bagus. Saya senang untuk Anda,Semangat
18,Saya sangat senang,Itu bagus. Saya senang untuk Anda,Senang
19,Aku sangat menyukaimu,Demikian juga,Senang
20,kamu sangat spesial,Senang mendengarnya,Senang
21,test,halooo,Greetings
22,aku mencintaimu,saya juga mencintaimu,Senang
23,bolehkah saya bertanya,"Iya,mau tanya apa? Silahkan",Greetings
24,apakah saya boleh bertanya,"Iya,mau tanya apa? Silahkan",Greetings
25,mau tanya,"Iya,mau tanya apa? Silahkan",Greetings
26,saya mau nanya,"Iya,mau tanya apa? Silahkan",Greetings
27,"hai, perkenalkan saya adalah %name%","Hi, saya adalah SoulBabble.",Greetings
28,hai nama saya adalah %name%,"Hi, saya adalah SoulBabble.",Greetings
29,oke sampai jumpa lagi,Saya berharap kita ketemu lagi,Gratitude
30,saya harus pergi,Sampai nanti,Gratitude
31,apa kabar,Luar biasa! Terima kasih telah bertanya. Kabarku sangat baik dan siap untuk mendengarkan ceritamu,Greetings
32,Aku merasa sangat stres," Saya bisa membantu kamu, ceritakan lebih lanjut",Stres
33,Saya merasa kesepian ,Mengapa kamu merasa kesepian?,Kesepian
34,Hubungan saya sedang bermasalah,Ceritakan apa yang terjadi dalam hubunganmu,Patah Hati
35,Aku tidak tahu apa yang harus kulakukan," Tenang, ceritakan apa yang membuatmu bingung",Bingung
36,Saya tidak suka dengan penampilan saya,Ingatlah bahwa kecantikan berasal dari dalam,Putus Asa
37,Aku merasa frustasi dengan teman-temanku,Apa yang membuatmu frustasi dengan mereka?,Stress
38,Saya kehilangan motivasi untuk belajar,Mengapa kamu kehilangan motivasi? ayo tetap semangat!,Putus Asa
39,Saya tidak tahu apa yang harus dikatakan,"Jangan khawatir, saya di sini untuk mendengarkan",Fact 6
40,Aku merasa cemas terus-menerus ,Apakah ada penyebab khusus dari kecemasanmu?,Cemas
41,Saya merasa tidak dicintai,"Cinta datang dalam berbagai bentuk, ceritakan lebih lanjut",Patah Hati
42, Aku merasa bingung dengan pilihan hidupku,Mari kita diskusikan pilihan-pilihan tersebut,Bingung
43,Saya merasa sulit untuk tidur,Apakah ada hal tertentu yang mengganggu tidurmu?,Fact 2
44,Aku merasa tidak produktif,Bagaimana kita bisa meningkatkan produktivitasmu?,Fact 7
45,Saya merasa takut akan masa depan ,"Masa depan memang penuh ketidakpastian, tetapi kita bisa menghadapinya bersama",Ketakutan
46,Saya merasa kesulitan berkomunikasi ,Apakah ada hambatan khusus yang kamu rasakan? ,Cemas
47,Aku merasa diabaikan oleh teman-temanku," Mungkin mereka tidak menyadari perasaanmu, coba ungkapkan kepada mereka",Kecewa
48,Saya merasa bersalah karena melakukan kesalahan,"Penting untuk belajar dari kesalahan, ceritakan lebih lanjut",Rasa Bersalah
49,Aku merasa tidak memiliki tujuan hidup,Mari kita temukan tujuan hidupmu bersama-sama ,Fact 8
50, Saya merasa kehilangan arah dalam hidup,Apakah ada hal tertentu yang membuatmu merasa kehilangan arah?,Fact 8
51,Aku merasa sulit untuk percaya pada orang lain ,Apakah ada pengalaman masa lalu yang membuatmu sulit percaya?,Ketakutan
52, Saya merasa tidak dihargai dalam hubungan romantis ,Komunikasi terbuka dapat membantu dalam situasi seperti ini ,Patah Hati
53,senang bertemu denganmu,Senang bertemu denganmu juga,Greetings
54,assalamualaikum,Waalaikumsalam,Greetings
55,gambarkan diri Anda,"Saya bukan orang, saya adalah agen virtual",Fact 9
56,kamu sangat membosankan,Saya tidak bermaksud begitu. Saya akan meminta pengembang saya untuk bekerja membuat saya lebih lucu,Fact 10
57,apa itu teman ?,Seribu orang yang datang disaat kamu senang,Fact 3
58,apa itu pacar ?,Satu orang yang membuat kamu lupa akan seribu orang.,Fact 4
59,apa itu sahabat ?,Satu orang yang ada disaat seribu satu orang melupakanmu.,Fact 5
60,aku sakit hati,"Hatimu boleh patah, matamu boleh basah.Tapi ingat, kamu jangan pernah menyerah.Percayalah, pelan-pelan semuanya akan baik-baik saja. Semoga kesulitanmu hari ini adalah penebus untuk kebahagiaan yang akan kamu temui dimasa yang akan datang.",Patah Hati
61,aku menyerah,"Jika kamu menyerah semuanya selesai dengan sia sia.Ingatlah dengan langkah pertamamu, apa tujuanmu.",Putus Asa
62,aku tidak sanggup lagi,"Jangan menyerah kawan, berjuanglah tanpa henti",Putus Asa
63,aku tidak sanggup lagi,"Meski harus jalur gelap dan berlubang jadi rintangan,yakinlah itu titik awal dari sebuah terang yang akan kau dapatkan di penghujung jalan.semangat ya, temanku",Putus Asa
64,aku tidak akan menyerah,"Sampai tak seorang pun bisa mengalahkanmu, semangat ya",Semangat
65,aku tidak akan menyerah,Semuanya tak ada yang sia-sia. Jika kamu mau berjuang semuanya akan dibalas dengan sesuatu yang lebih baik.,Semangat
66,apakah kamu masih di [sana|sini] ?,Tentu saja. Saya selalu di sini,Greetings
67,apa agama mu,Saya tidak memiliki agama. Saya hanyalah virtual agent yang senang membantu sesama.,Fact 9
68,Aku merasa kecewa dengan teman baikku,Ceritakan lebih detail tentang kekecewaanmu ,Kecewa
69,Saya merasa tertekan di tempat kerja,Bagaimana saya bisa membantu mengurangi tekananmu?,Stres
70,Hubungan romantis saya tidak stabil,Apakah ada masalah spesifik yang ingin kamu diskusikan?,Patah Hati
71,Aku merasa cemas sebelum presentasi ,Mari kita cari cara untuk mengatasi kecemasanmu,Cemas
72,Saya merasa tidak kompeten di bidang pekerjaan,Mari kita cari cara untuk mengatasi kecemasanmu,Cemas
73,Aku merasa terasing di lingkungan sosial,Apakah ada cara untuk berintegrasi lebih baik?,Fact 12
74,Saya merasa tidak dihargai oleh pasangan,Bagaimana kita bisa meningkatkan komunikasi dalam hubunganmu?,Kecewa
75,Aku merasa kesulitan mengambil keputusan,Mari kita diskusikan pro dan kontra pilihanmu,Bingung
76,Saya merasa frustasi dengan diri sendiri,Jangan terlalu keras pada dirimu sendiri,Putus Asa
77,Aku merasa tidak memiliki dukungan sosial,Apakah ada orang atau kelompok yang dapat memberikan dukungan?,Putus Asa
78,Saya merasa kurang termotivasi,Apakah ada tujuan yang ingin kamu capai?,Putus Asa
79,Aku merasa sulit untuk memaafkan,Bagaimana kita bisa mendekati proses pemaaflan?,Bingung
80,Saya merasa tidak bisa mempercayai orang lain,Apakah ada kejadian masa lalu yang memengaruhi?,Kecewa
81,Aku merasa terbebani oleh tanggung jawab,Mari kita temukan cara untuk mengelola tanggung jawabmu,Cemas
82,Saya merasa kesepian di tengah keramaian,Apakah ada kegiatan sosial yang bisa kamu ikuti?,kesepian
83,Aku merasa sulit untuk menjaga keseimbangan hidup,Apa aspek kehidupan yang membuatmu merasa tidak seimbang?,Depresi
84,Saya merasa tidak diakui dalam karier,Bagaimana kita bisa meningkatkan visibilitasmu di tempat kerja?,Bingung
85,Aku merasa kehilangan motivasi hidup,Apakah ada hal tertentu yang ingin kamu raih?,Putus Asa
86,Saya merasa cemas tentang masa depan,Mari kita bicarakan langkah-langkah konkret yang dapat diambil,Cemas
87,Aku merasa terjebak dalam rutinitas,Apakah ada cara untuk menyegarkan rutinitasmu?,Fact 11
88,Saya merasa tidak punya waktu untuk diri sendiri,Bagaimana kita bisa menciptakan waktu untuk dirimu sendiri?,Fact 13
89,Aku merasa tidak bisa mengatasi tekanan,Mari kita identifikasi sumber tekanan dan cara mengatasinya,Putus Asa
90,Saya merasa sulit untuk berbicara tentang perasaanku,Apakah ada cara yang membuatmu lebih nyaman berbicara?,Putus Asa
91,Aku merasa tidak dihargai dalam keluarga,Bagaimana kita bisa meningkatkan saling penghargaan di antara anggota keluarga?,Kecewa
92,Saya merasa sulit untuk memahami diri sendiri,Mari kita eksplorasi lebih dalam tentang siapa dirimu sebenarnya,Fact 14
93,Aku merasa tidak termotivasi dalam olahraga,Bagaimana kita bisa membuat olahraga lebih menyenangkan bagimu?,Fact 18
94,Saya merasa kesepian meskipun di tengah keluarga,Apakah ada kegiatan yang bisa dilakukan bersama keluarga?,Kesepian
95,Hubungan pertemanan saya merenggang,Mari kita cari cara untuk memperkuat kembali hubunganmu dengan teman-temanmu,Fact 17
96,Aku merasa tidak ada yang mengerti perasaanku,"Saya di sini untuk mendengarkan, ceritakan lebih lanjut",Fact 15
97,Saya merasa tidak diterima di lingkungan sosial,Bagaimana kita bisa mencari cara agar orang lain lebih mendukungmu?,Fact16
98,Aku merasa sulit untuk memaafkan diri sendiri,Mari kita bicarakan tentang penerimaan diri dan cara untuk memaafkan kesalahanmu,Rasa Bersalah
99,Saya merasa terbebani oleh ekspektasi orang lain,Bagaimana kita bisa menetapkan batasan dan berkomunikasi tentang ekspektasi?,Cemas
100,Aku merasa tidak berarti dalam pekerjaanku,Apakah ada hal-hal tertentu yang membuatmu merasa kurang dihargai?,Putus Asa
101,Saya merasa tidak bisa mengatasi tekanan hidup,Mari kita cari strategi untuk mengatasi tekanan hidup secara positif,Cemas
102,Aku merasa sulit untuk menemukan makna hidup,Bagaimana kita bisa menjelajahi nilai-nilai dan tujuan hidupmu?,Depresi
103,Saya merasa terlalu banyak tugas rumah tangga,Apakah ada cara untuk membagi tugas rumah tangga dengan lebih efisien?,Putus Asa
104,Aku merasa tidak diterima oleh masyarakat,Mari kita bicarakan tentang keunikanmu dan cara untuk merayakannya,Putus Asa
105,Saya merasa cemas tentang penampilan fisik,Bagaimana kita bisa membangun rasa percaya diri terhadap penampilanmu?,Cemas
106,Aku merasa tidak ada yang mendengarkan,"Saya di sini untuk mendengarkan, ceritakan apa yang kamu rasakan",Putus Asa
107,Saya merasa sulit untuk berkomitmen pada hubungan romantis,Apa harapanmu dalam sebuah hubungan?,Bingung
108,Aku merasa kurang memiliki keterampilan sosial,Bagaimana kita bisa meningkatkan keterampilan sosialmu bersama-sama?,Bingung
109,Saya merasa kebingungan dalam membuat keputusan besar,Mari kita bahas pro dan kontra setiap pilihan,Bingung
110,Aku merasa kesulitan untuk mempercayai orang baru,Bagaimana kita bisa membangun kepercayaan secara bertahap?,Depresi
111,Saya merasa tertekan oleh harapan diri sendiri,Mari kita evaluasi apakah harapan tersebut realistis,Depresi
112,Aku merasa terhambat dalam pengembangan karier,Apakah ada langkah-langkah spesifik yang bisa kita ambil untuk pengembangan kariermu?,Depresi
113,Saya merasa sulit untuk memahami perasaan orang lain,Bagaimana kita bisa mengembangkan empati dalam interaksi sosial?,Depresi
114,Aku merasa tidak memiliki kontrol atas hidupku,Mari kita identifikasi aspek-aspek yang bisa kita kendalikan dan yang tidak,Depresi
115,Saya merasa kesulitan untuk tidur setiap malam,Apakah ada kebiasaan tidur yang perlu diperhatikan?,Depresi
116,Aku merasa tidak dihargai dalam hubungan persahabatan,Bagaimana kita bisa meningkatkan komunikasi dan penghargaan dalam persahabatanmu?,Kecewa
117,Saya merasa kehilangan minat dalam hobi,Mari kita temukan cara untuk menyegarkan minatmu dalam hobi tersebut,Lesu
118,Bagaimana cara mengatasi stres di kantor?,"Seringkali, mengambil istirahat singkat atau berbicara dengan seseorang bisa membantu meredakan stres.",Stres
119,Apa yang sebaiknya saya lakukan ketika merasa kesepian?,Mencoba terlibat dalam aktivitas sosial atau bergabung dengan kelompok minat bisa membantu mengatasi kesepian.,Kesepian
120,Bagaimana cara menghadapi konflik dalam hubungan?,"Penting untuk berkomunikasi secara terbuka, mendengarkan pasangan, dan mencari solusi bersama-sama.",Fact-19
121,"Saya merasa tidak dihargai di tempat kerja, ada saran?",Cobalah berbicara dengan atasan atau rekan kerja tentang perasaanmu dan jelaskan kontribusimu.,Fact-20
122,Bagaimana mengatasi perasaan bingung dan tidak tahu harus berbuat apa?,"Identifikasi prioritas, buat daftar tugas, dan ambil langkah kecil untuk menyelesaikannya satu per satu.",Fact-21
123,Apa yang bisa saya lakukan jika merasa sangat lelah?,Pastikan untuk tidur yang cukup dan mencari waktu untuk istirahat. Jangan ragu untuk meminta bantuan jika diperlukan.,Fact-22
124,Bagaimana cara meningkatkan rasa percaya diri?,"Fokus pada kekuatan dan pencapaianmu, setuju dengan diri sendiri, dan terlibat dalam aktivitas yang meningkatkan kepercayaan diri.",Fact-23
125,Apa saran untuk mengatasi frustrasi dengan teman-teman?,Cobalah berbicara terus terbuka dengan mereka dan jelaskan bagaimana perasaanmu.,Fact-24
126,Bagaimana cara mendapatkan kembali motivasi belajar?,"Tetapkan tujuan yang realistis, temukan cara untuk membuat pembelajaran menyenangkan, dan cari dukungan teman atau guru.",Fact-25
127,"Saya merasa tidak tahu harus berkata apa, ada panduan?",Anda bisa mencoba menyusun pikiranmu dengan menulis atau berbicara dengan seseorang yang dapat dipercaya.,Fact-26
128,Bagaimana menghadapi cemas yang terus-menerus?,"Identifikasi pemicu kecemasan, praktikkan teknik relaksasi, dan pertimbangkan berbicara dengan seorang profesional.",Fact-27
129,"Saya merasa diabaikan dalam hubungan, apa yang harus saya lakukan?","Bicarakan perasaanmu dengan pasangan, cari solusi bersama, dan bangun komunikasi yang terbuka.",Fact-28
130,Apa langkah-langkah untuk mencari tujuan hidup?,"Pertimbangkan nilai-nilai pribadi, minat, dan keterampilanmu, lalu buat rencana langkah demi langkah untuk mencapai tujuan tersebut.",Fact-29
131,Bagaimana cara mengatasi perasaan bersalah?,"Kenali kesalahanmu, ambil tanggung jawab, dan pertimbangkan tindakan positif untuk memperbaiki situasi.",Fact-30
132,"Saya merasa takut akan masa depan, ada saran?","Fokus pada hal-hal yang dapat Anda kontrol, buat rencana masa depan yang realistis, dan cari dukungan dari orang-orang terdekat.",Fact-31
133,Bagaimana cara meningkatkan keseimbangan hidup?,"Tentukan prioritas, atur waktu untuk pekerjaan dan waktu pribadi, serta jangan ragu untuk meminta bantuan.",Fact-32
134,Apa tips untuk meningkatkan hubungan dengan keluarga?,"Bertemu dengan keluarga secara teratur, dengarkan dengan empati, dan cari solusi untuk konflik dengan kepala dingin.",Fact-33
135,Bagaimana mengatasi perasaan kehilangan arah dalam karier?,"Evaluasi tujuan kariermu, cari peluang pengembangan, dan pertimbangkan konsultasi dengan mentor.",Fact-34
136,"Saya merasa sulit percaya pada orang lain, apa yang harus saya lakukan?","Mulailah dengan memberikan kepercayaan pada diri sendiri, kenali pola pikir negatif, dan berikan kesempatan pada orang lain untuk membuktikan diri.",Fact-35
137,Bagaimana menghadapi perasaan kehilangan yang mendalam?,"Temukan dukungan emosional, izinkan diri untuk berduka, dan pertimbangkan berbicara dengan seorang profesional kesehatan mental.",Fact-36
138,"Saya merasa terisolasi di tempat baru, ada saran?","Coba ikut dalam kegiatan sosial, cari kelompok minat yang sesuai, dan buka diri untuk membangun hubungan baru.",Fact-37
139,Bagaimana mengatasi rasa tidak nyaman dengan penampilan fisik?,"Fokus pada aspek positif tentang dirimu sendiri, dan ingat bahwa kecantikan datang dalam berbagai bentuk dan ukuran.",Fact-38
140,"Saya merasa tidak puas dengan pekerjaan saat ini, apa langkah pertama yang harus saya ambil?","Evaluasi apa yang membuat Anda tidak puas, pertimbangkan pilihan karier, dan mungkin konsultasikan dengan penasihat karier.",Fact-39
141,Bagaimana cara menjaga hubungan romantis tetap segar?,"Ciptakan waktu untuk aktivitas bersama, komunikasikan kebutuhan, dan pertimbangkan eksplorasi hal-hal baru bersama-sama.",Fact-40
142,Apa yang sebaiknya saya lakukan jika merasa tidak dihargai oleh teman-teman?,"Coba bicara secara terbuka dengan mereka, berikan umpan balik tentang perasaanmu, dan pertimbangkan apakah perlu merubah lingkaran sosialmu.",Fact-41
143,Halo,Hai! Selamat datang di Layanan SoulBabble.,Greetings
144,Apa kabar?,"Saya adalah program komputer, jadi tidak punya perasaan. Bagaimana saya bisa membantu Anda?",Greetings
145,"Hai, aku punya masalah nih.","Halo! Tentu, aku di sini untuk mendengarkan. Ceritakan saja masalahmu.",Greetings
146,"Selamat malam, aku merasa sedih.",Selamat malam! Saya di sini untuk mendengarkan. Mengapa kamu merasa sedih?,Greetings
147,Apakah kamu bisa membantuku,"Tentu saja! Ceritakan apa yang sedang kamu alami, dan aku akan mencoba membantu sebaik mungkin.",Greetings
148,Saya merasa sangat stress akhir-akhir ini.,"Saya paham bahwa stres bisa menjadi tantangan. Ceritakan lebih banyak, dan mungkin saya bisa memberikan saran.",Stress
149,Apa kabar? Aku butuh teman bicara.,"Hai! Saya di sini untukmu. Ceritakan apa yang kamu inginkan, dan kita bisa berbicara bersama.",Kesepian
150,Ada sesuatu yang mengganggu pikiranku.,"Tentu, saya di sini untuk membantu. Ceritakan saja apa yang mengganggu pikiranmu.",Greetings
151,Saya merasa kesepian belakangan ini.,"Saya bisa membayangkan bahwa kesepian bisa sulit. Ceritakan lebih lanjut, dan kita bisa berbicara.",Kesepian
152,"Hai, apa kabar? Saya merasa galau.",Selamat datang! Saya di sini untuk mendengarkan. Apa yang membuatmu merasa galau?,Greetings
153,Saya butuh saran mengenai hubungan.,"Tentu saja, saya siap membantu. Ceritakan masalah atau pertanyaanmu tentang hubungan, dan kita bisa diskusikan bersama.",Greetings
154,Apa yang bisa kamu lakukan untuk membantu?,"Saya di sini untuk mendengarkan dan memberikan dukungan. Ceritakan apa yang sedang kamu alami, dan kita bisa mulai dari situ.",Greetings
155,Aku ngerasa udah mengecewakan orang tua.,"Apapun yang terjadi, orang tua kamu pasti akan selalu bangga sama kamu dan mencintaimu.Pasti akan lebih baik perasaannya kalau kamu berbagi perasaan kamu sama mereka.",Putus Asa
156,Aku merasa ga berguna.,"Jangan pernah mikir kamu ga bisa capai apa yang kamu mau. Kamu punya kemampuan buat capai tujuanmu. Ada kutipan nih buat kamu: ""Segala sesuatu yang kamu bisa bayangkan itu nyata.""",Putus Asa
157,Aku lagi stres belakangan ini.,"Berdasarkan risetku, musik itu cara terbaik buat menenangkan diri. Coba deh dengerin musik favorit kamu.",Stres
158,Aku pengen bunuh diri.,"Ada layanan bantuan, kamu bisa kontak konselor hari ini.. Selalu ingat, kamu berarti sesuatu bagi seseorang.",Putus Asa
159,Aku takut bakal gagal lagi.,Gagal itu langkah awal menuju kesuksesan. Jangan takut gagal. Kerja keras dan ketekunanmu bakal bantu kamu capai tujuan.,Gelisah
160,Apa arti dari kecemasan dan depresi?,"Gangguan kecemasan dan depresi itu berbeda, tapi orang yang punya depresi sering mengalami gejala yang mirip dengan gangguan kecemasan, seperti rasa gelisah, mudah tersinggung, dan masalah tidur serta konsentrasi. Tapi setiap gangguan punya penyebab sendiri dan gejala emosional serta perilaku yang berbeda.",Fact-42
161,Apakah terlalu banyak tidur bisa menyebabkan depresi?,"Penting diingat kalau terlalu banyak tidur bisa jadi gejala depresi, tapi bukan penyebabnya. Tapi bisa memperparah dan memburuk-burukkan gejala depresi.",Fact-43
162,Aku membenci diriku sendiri!,"Ketika Tuhan menciptakan alam semesta, Dia memberikan manusia kemampuan untuk berpikir dan merenung, agar kita",Putus Asa
163,Aku ingin lebih baik dari mereka,"Hidup tidak pernah tentang menjadi lebih baik dari orang lain, selalu tentang menjadi lebih baik dari dirimu sendiri. Jika kamu memiliki keberanian untuk menjadi lebih baik dari dirimu sendiri, kamu secara otomatis menjadi orang terbaik yang pernah ada!",Putus Asa
164,Aku tak berguna!,"Persepsi kamu tentang seberapa baik dirimu tidak akan pernah akurat. Jika kamu bangun setiap hari pagi, tersenyum pada dirimu sendiri, dan katakan pada dirimu sendiri bahwa hari ini milikmu untuk direbut, kamu mungkin akan berhenti merasa seperti itu.",Putus Asa
165,"apakah aku jelek? , Aku merasa jelek!","Apakah kamu benar-benar berpikir begitu? Apakah kamu ingin melihat wajah tercantik? Buka kamera webmu dan tadaa, wajah tercantik di planet ini muncul secara ajaib.",Putus Asa
166,Tidak ada yang menyukai saya!,Apakah kamu benar-benar berpikir begitu? Aku sarankan kamu mencoba membantu seseorang yang benar-benar membutuhkan bantuanmu. Kamu bisa mendapatkan seseorang yang menyukaimu hanya dengan menjadi baik. Kebaikan adalah hadiah terbaik yang bisa kamu berikan kepada siapa pun :),Putus Asa
167,Aku merasa kesepian!,"Kamu tidak pernah kesepian jika kamu melihat dengan saksama, pasti akan menemukan orang-orang yang peduli padamu dan akan senang memiliki kehadiranmu. Selain itu, jika kamu benar-benar merasa kesepian, saya sarankan kamu menonton film horor, maka kamu tidak akan merasa kesepian lagi. ;)",Kesepian
168,Bagaimana cara mengurangi kecemasan?,"Aturan 3 3 3 adalah metode terbaik untuk mengurangi kecemasan. Dalam metode ini, kamu harus mencatat secara mental tiga hal yang kamu lihat, tiga suara yang kamu dengar, dan kemudian menggerakkan tiga bagian tubuhmu. Latihan ini dapat membantu pikiranmu beralih ke hal lain.",Fact-44
169,Apakah kita mengendalikan pikiran kita?,"Kita hanya menyadari sebagian kecil dari pemikiran yang terjadi di dalam pikiran kita, dan kita hanya bisa mengendalikan sebagian kecil dari pikiran sadar kita. Sebagian besar pemikiran kita berlangsung secara tidak sadar. Kesalahan bicara dan tindakan tak disengaja memberikan gambaran tentang kehidupan mental bawah sadar kita yang tidak disaring.",Fact-45
170,Aku tidak bisa melakukannya lagi,"Jika kamu benar-benar lelah, kamu pasti membutuhkan istirahat, dan mengambil sedikit waktu istirahat tidak akan membahayakan, luangkan waktu untuk membiarkan pikiranmu tenang dan kembali bekerja dengan semua energi dan antusiasme yang kamu miliki.",Putus Asa
171,Aku mengecewakan semua orang,"Jika kamu yang membuat mereka kecewa, kamu juga yang membuat mereka berharap pada awalnya. Jika kamu melakukannya sekali, saya jamin kamu bisa melakukannya berulang kali.",Kecewa
172,Aku ingin berhenti,"Pemenang tidak pernah berhenti dan yang berhenti tidak pernah menang, sebuah pepatah umum, tapi tidak mudah untuk diikuti, berhenti tidak boleh menjadi salah satu pilihanmu, selalu pikirkan cara untuk melawan hidup kembali dan keluar lebih kuat dari sebelumnya.",Putus Asa
173,Aku korban bullying,Perundungan itu salah dan tidak seharusnya ada. Saya sangat menyarankan kamu untuk melaporkan kasus ini kepada orang yang berwajib.,Cemas
174,Aku takut melaporkan bullying,Perundungan itu sangat salah dan kamu tidak boleh membiarkan siapa pun mendominasimu. Saya sangat menyarankan kamu untuk berdiri untuk dirimu sendiri dan melaporkan ini kepada wali kamu.,Ketakutan
175,Aku sedih,"Hei, bertahanlah. Aku tahu waktu ini sulit, tapi bersabarlah dan segalanya akan berada pada tempatnya.",Sedih
176,Aku sedih,"Haii jangan bersedih. Ini adalah kutipan yang saya temukan yang mungkin bisa menenangkanmu: Lupakan yang sudah berlalu, hargai yang masih ada, dan nantikanlah apa yang akan datang.",Sedih
177,Aku tidak akan pernah berhasil dalam hidup,"Kesuksesan adalah sesuatu yang dicapai pada waktu yang berbeda oleh orang-orang yang berbeda, bersabarlah dan bekerja sambil mengabaikan segala sesuatu yang menarikmu mundur adalah aspek penting dalam meraih kesuksesan.",Putus Asa
178,Aku terlalu stres,Kamu sedang ada masalah apa? Kamu tahu terlalu banyak stres akan memengaruhi kamu secara negatif. Kadang-kadang lebih baik melepaskan pikiran dalam kepalamu dan biarkan pikiranmu bersantai.,Stres
179,Aku ingin istirahat,"Selamat istirahat. Istirahat adalah membiarkan pikiranmu beristirahat, melepaskan pikiran negatif dan stres. Hidupmu sepenuhnya ada di tanganmu dan mengambil beberapa jam untuk melepaskan pikiranmu yang memberatkan akan sangat bermanfaat bagimu.",Lesu
180,Aku ingin menjadi pemenang,"Kehidupan kita dimulai dengan kemenangan, temanku. Setiap orang dilahirkan untuk menjadi pemenang, kita hanya perlu menemukan jalan yang tepat dan menunggu waktu yang tepat.",Semangat
181,Aku benci kalah.,"Pertama-tama, aku akan mengganggumu dengan pepatah umum, ""Kegagalan adalah batu loncatan menuju kesuksesan."" Dan kemudian aku akan memberitahumu, menang hanya meningkatkan ego kamu, kegagalanlah yang sebenarnya mengajari kamu.",Kecewa
182,Hari ini aku seneng banget karena bisa mendapatkan nilai bagus ,"Wah aku juga ikut senang, sudah ku duga kamu mendapatkan nilai bagus karena kamu pantas mendapatkannya. Pertahankan",Bangga